elapsed_s,phase,ac_status,battery_error,raw_rate,discharge_w,voltage_v,cpu_busy_percent,boost_error,boost,hwinfo_error,query_ms
71.501410,recovery,0,0,-6369,6.369000,16.164000,0.930851,0,0,2,1.242400
72.006497,recovery,0,0,-6254,6.254000,16.159000,1.033592,0,0,2,2.107700
72.507898,recovery,0,0,-6254,6.254000,16.159000,1.813472,0,0,2,1.213600
73.013939,recovery,0,0,-6244,6.244000,16.135000,1.257862,0,0,2,2.145400
73.512214,recovery,0,0,-6244,6.244000,16.135000,0.925926,0,0,2,2.182700
74.015607,recovery,0,0,-6287,6.287000,16.161000,0.934579,0,0,2,2.671800
74.504281,recovery,0,0,-6287,6.287000,16.161000,1.706037,0,0,2,1.387900
75.009519,recovery,0,0,-6287,6.287000,16.161000,1.285347,0,0,2,1.263200
75.510755,recovery,0,0,-6189,6.189000,16.160000,1.554404,0,0,2,2.039900
76.013852,recovery,0,0,-6189,6.189000,16.160000,1.280410,0,0,2,1.255800
76.507206,recovery,0,0,-6189,6.189000,16.160000,1.997337,0,0,2,1.225300
77.008903,recovery,0,0,-6158,6.158000,16.162000,1.834862,0,0,2,2.283600
77.503688,recovery,0,0,-6158,6.158000,16.162000,0.902062,0,0,2,1.621100
78.008761,recovery,0,0,-6158,6.158000,16.162000,1.305483,0,0,2,1.203700
78.513270,recovery,0,0,-6090,6.090000,16.154000,1.915709,0,0,2,1.927200
79.002800,recovery,0,0,-6090,6.090000,16.154000,1.072386,0,0,2,1.199300
79.501460,recovery,0,0,-6090,6.090000,16.154000,0.781250,0,0,2,1.272200
80.006145,recovery,0,0,-6110,6.110000,16.163000,0.779221,0,0,2,2.226100
80.500198,recovery,0,0,-6110,6.110000,16.163000,1.206434,0,0,2,1.266400
81.003731,recovery,0,0,-6110,6.110000,16.163000,0.888325,0,0,2,1.207600
81.504074,recovery,0,0,-6045,6.045000,16.164000,0.777202,0,0,2,1.729600
82.009903,recovery,0,0,-6045,6.045000,16.164000,1.173403,0,0,2,2.050000
82.509710,recovery,0,0,-5996,5.996000,16.162000,1.915709,0,0,2,3.177300
83.012321,recovery,0,0,-5996,5.996000,16.162000,1.043025,0,0,2,1.805700
83.515474,recovery,0,0,-5965,5.965000,16.166000,1.041667,0,0,2,2.488800
84.005488,recovery,0,0,-5965,5.965000,16.166000,0.953678,0,0,2,1.397900
84.508659,recovery,0,0,-5965,5.965000,16.166000,1.010101,0,0,2,1.091500
85.009715,recovery,0,0,-5912,5.912000,16.154000,1.550388,0,0,2,2.337800
85.513247,recovery,0,0,-5912,5.912000,16.154000,1.815824,0,0,2,2.020500
86.014195,recovery,0,0,-5947,5.947000,16.159000,1.417526,0,0,2,2.531700
86.511586,recovery,0,0,-5947,5.947000,16.159000,1.324503,0,0,2,1.539000
87.015922,recovery,0,0,-5931,5.931000,16.162000,1.298701,0,0,2,1.977300
87.515354,recovery,0,0,-5931,5.931000,16.162000,1.302083,0,0,2,1.312500
88.002984,recovery,0,0,-5931,5.931000,16.162000,1.201602,0,0,2,1.577000
88.502448,recovery,0,0,-5914,5.914000,16.158000,1.043025,0,0,2,2.079400
89.002071,recovery,0,0,-5914,5.914000,16.158000,1.958225,0,0,2,1.206900
89.508735,recovery,0,0,-5898,5.898000,16.160000,1.403061,0,0,2,2.282900
90.011107,recovery,0,0,-5898,5.898000,16.160000,1.295337,0,0,2,1.036100
90.501503,recovery,0,0,-5898,5.898000,16.160000,0.943396,0,0,2,1.202900
91.003796,recovery,0,0,-5862,5.862000,16.148000,1.903553,0,0,2,2.486500
91.500869,recovery,0,0,-5862,5.862000,16.148000,1.065246,0,0,2,1.189200
92.005674,recovery,0,0,-5897,5.897000,16.156000,0.636132,0,0,2,2.423700
92.507535,recovery,0,0,-5897,5.897000,16.156000,1.948052,0,0,2,1.165300
93.013486,recovery,0,0,-5865,5.865000,16.157000,3.612903,0,0,2,2.672300
93.499842,recovery,0,0,-5865,5.865000,16.157000,1.978892,0,0,2,1.282400
94.003100,recovery,0,0,-5865,5.865000,16.157000,0.906736,0,0,2,1.800800
94.510540,recovery,0,0,-5884,5.884000,16.164000,1.451187,0,0,2,2.585400
95.013365,recovery,0,0,-5884,5.884000,16.164000,1.019108,0,0,2,1.364800
95.504216,recovery,0,0,-5867,5.867000,16.162000,1.059603,0,0,2,2.150300
96.007191,recovery,0,0,-5867,5.867000,16.162000,0.646831,0,0,2,1.898600
96.513165,recovery,0,0,-5847,5.847000,16.153000,0.891720,0,0,2,2.060800
97.000677,recovery,0,0,-5847,5.847000,16.153000,1.902174,0,0,2,1.768000
97.500655,recovery,0,0,-5847,5.847000,16.153000,1.167315,0,0,2,1.234700
98.004013,recovery,0,0,-5916,5.916000,16.165000,0.641849,0,0,2,2.795300
98.508379,recovery,0,0,-5916,5.916000,16.165000,1.300390,0,0,2,1.195300
99.013506,recovery,0,0,-5867,5.867000,16.162000,1.392405,0,0,2,2.512900
99.505917,recovery,0,0,-5867,5.867000,16.162000,1.344086,0,0,2,1.142900
